Arctic Alpine Forget-Me-Not,Eritrichium nanum,Purple,Both
Arrowleaf Balsamroot,Balsamorhiza sagittata,Yellow,Both
Brandegee's Clover,Trifolium brandegii,Red, Sun
Colorado Blue Columbine,Aquilegia coerulea,Blue,Both
Common Juniper,Juniperus communis,Green,Both
Daisyflower,Commelina erecta,Blue,Sun
Fendler's False Cloak Fern,Argyrochosma fendleri,Green,Shade
Fremont's Barberry,Berberis fremontii,Yellow,Both
Glacial Daisy,Erigeron glacialis,Violet,Both
Hooker's Sandwort,Eremogene hookeri,Green,Both
Orange Mountain Dandelion,Agoseris aurantiaca,Orange,Sun
Pasque Flower,Anemone patens var. multifida,Violet,Sun
Purple Loosestrife,Lythrum salicaria,Violet,Sun
Rose Crown,Rhodiola Clementsia,Red,Both
Sea Milkwort,Glaux maritima,Green,Sun
Showy Milkweed,Asclepias speciosa,Red,Sun
Subalpine Larkspur,Delphinium barbeyi,Violet,Sun
Western Indian Paintbrush,Castilleja occidentalis,Yellow,Sun
Western Red Columbine,Aquilegia elegantula,Red,Both
Yellowspine Thistle,Cirsium ochrocentrum,Yellow,Sun
